# id	name	level	title	reason
772	Bucky Nash	local	County Commissioner, District 3	dup:files.nc.gov
773	Toby Brewer	local	County Commissioner, District 4	no-trusted-result
774	Rusty DePratter	local	County Commissioner, District 5	dup:sumtercountyfl.gov
775	Chris Campbell	local	County Commissioner, District 1	no-trusted-result
777	Kevin Roberts	local	County Commissioner, District 3	no-trusted-result
778	Scott Kirouac	local	County Commissioner, District 4	no-trusted-result
779	Jim Brooks	local	County Commissioner, District 5	no-trusted-result
780	Jim Peacock	local	County Commissioner, District 1	no-trusted-result
781	Alex McKinnie	local	County Commissioner, District 2	dup:files.nc.gov
786	Terry Turner	local	County Commissioner, District 2	no-trusted-result
787	Buddy Goddard	local	County Commissioner, District 3	no-trusted-result
788	Jeff Helms	local	County Commissioner, District 4	no-trusted-result
789	Chip Laibl	local	County Commissioner, District 5	dup:files.nc.gov
791	Danny Glidewell	local	County Commissioner, District 2	no-trusted-result
794	Bobby Brack	local	County Commissioner, District 5	dup:sumtercountyfl.gov
795	Terry Burroughs	local	County Commissioner, District 1	no-trusted-result
796	Brad Goodbread	local	County Commissioner, District 2	no-trusted-result
797	David Hazellief	local	County Commissioner, District 3	no-trusted-result
799	Terry Burroughs Jr.	local	County Commissioner, District 5	dup:files.nc.gov
801	Elton Langford	local	County Commissioner, District 2	dup:files.nc.gov
802	Buddy Mansfield	local	County Commissioner, District 3	no-trusted-result
803	J.C. Deriso	local	County Commissioner, District 4	no-trusted-result
804	Jim Selph Jr.	local	County Commissioner, District 5	dup:sumtercountyfl.gov
806	Scottie Rhoden	local	County Commissioner, District 2	dup:files.nc.gov
807	James Bennett	local	County Commissioner, District 3	no-trusted-result
809	Rocky Rhoden	local	County Commissioner, District 5	no-trusted-result
810	Danny Riddick	local	County Commissioner, District 1	dup:www.baycountyfl.gov
811	Doyle Thomas	local	County Commissioner, District 2	dup:files.nc.gov
812	Eddie Lewis	local	County Commissioner, District 3	dup:files.nc.gov
813	Ross Chandler	local	County Commissioner, District 4	dup:files.nc.gov
814	Kenny Thompson	local	County Commissioner, District 5	dup:www.sumtercountyfl.gov
815	Matt Gavin	local	County Commissioner, District 1	no-trusted-result
816	Alonzetta Jones	local	County Commissioner, District 2	no-trusted-result
817	Eric Hinson	local	County Commissioner, District 3	no-trusted-result
818	Brenda Holt	local	County Commissioner, District 4	no-trusted-result
819	Kimberly McFarland	local	County Commissioner, District 5	no-trusted-result
820	Thomas Demps	local	County Commissioner, District 1	no-trusted-result
822	Derrick Jennings	local	County Commissioner, District 3	no-trusted-result
826	Pam Feagle	local	County Commissioner, District 2	no-trusted-result
827	Thomas Demps	local	County Commissioner, District 3	dup:www.baycountyfl.gov
828	Malcolm Page	local	County Commissioner, District 4	dup:files.nc.gov
829	Steve Spradley	local	County Commissioner, District 5	dup:www.sumtercountyfl.gov
831	Fred Nichols	local	County Commissioner, District 2	no-trusted-result
832	Mike Kemp	local	County Commissioner, District 3	no-trusted-result
833	Quincee Messersmith	local	County Commissioner, District 4	no-trusted-result
834	Chuck Hess	local	County Commissioner, District 5	dup:www.mywaltonfl.gov
835	Steve Joyner	local	County Commissioner, District 1	no-trusted-result
836	Ricky Gamble	local	County Commissioner, District 2	no-trusted-result
840	David Goodman	local	County Commissioner, District 1	dup:www.mywaltonfl.gov
841	Rock Meeks	local	County Commissioner, District 2	no-trusted-result
842	Mike Joyner	local	County Commissioner, District 3	no-trusted-result
847	Rick Knight	local	County Commissioner, District 3	dup:www.sumtercountyfl.gov
848	Russell Melendy	local	County Commissioner, District 4	no-trusted-result
851	Michael Swindle	local	County Commissioner, District 2	dup:sumtercountyfl.gov
853	Mitchell Kemmerer	local	County Commissioner, District 4	dup:jacksoncountyfl.gov
854	Emma Byrd	local	County Commissioner, District 5	no-trusted-result
855	James Rideout	local	County Commissioner, District 1	no-trusted-result
856	Jeff Good	local	County Commissioner, District 2	dup:files.nc.gov
857	Clint Erickson	local	County Commissioner, District 3	dup:files.nc.gov
858	Earl Stafford	local	County Commissioner, District 4	dup:files.nc.gov
859	Bobby Sasnett	local	County Commissioner, District 5	no-trusted-result
860	Tray Hawkins	local	County Commissioner, District 1	no-trusted-result
862	Charles Kent	local	County Commissioner, District 3	dup:files.nc.gov
863	Todd Abbott	local	County Commissioner, District 4	dup:www.sumtercountyfl.gov
864	Hubert Hendrix	local	County Commissioner, District 5	dup:sumtercountyfl.gov
865	Maura McCarthy Bulman	local	School Board Member, District 1	no-trusted-result
873	Debra Hixon	local	School Board Member, At-Large Seat 9	no-trusted-result
874	Erica Whitfield	local	School Board Member, District 1	no-trusted-result
878	Frank Barbieri	local	School Board Member, District 5	no-trusted-result
880	Bridget Ziegler	local	School Board Member, District 7	no-trusted-result
882	Henry Washington Jr.	local	School Board Member, District 4	no-trusted-result
888	Angie Gallo	local	School Board Chair, District 1	no-trusted-result
889	Johanna Lopez	local	School Board Member, District 2	no-trusted-result
891	Pam Gould	local	School Board Member, District 4	no-trusted-result
894	Melissa Byrd	local	School Board Member, District 7	no-trusted-result
895	Darryl Willie	local	School Board Chair, District 4	no-trusted-result
896	Lori Hershey	local	School Board Member, District 1	no-trusted-result
